Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_024-1,-84.41527,33.68401,23.66,6.0,7.27,85.82,-4.93,-84.41527,33.68401,-102.33935091280124,104.34875077593912,1055.528806002973,1.0223890929749933,0.1950589387852863,0.0702176054275723,0.0136965715987461,0.69284691927723,2.0100426581326527
CM_024-2,-84.41527,33.68401,23.66,6.0,7.27,85.82,-5.02,-84.41527,33.68401,-102.33935091280124,104.34875077593912,1055.528806002973,1.0223890929749933,0.1950589387852863,0.0702176054275723,0.0136965715987461,0.7007037171450193,2.0100426581326527
CM_024-3,-84.41527,33.68401,23.66,6.0,7.27,85.82,-5.3,-84.41527,33.68401,-102.33935091280124,104.34875077593912,1055.528806002973,1.0223890929749933,0.1950589387852863,0.0702176054275723,0.0136965715987461,0.724275869600789,2.0100426581326527
CM_027-1,-95.28318,29.33381,32.93,7.5,10.96,152.38,-3293.85,-95.28318,29.33381,-2577.902958055536,264.9091732582392,1084.6416989270406,2.91834667175238,0.4850818367782001,0.2004318282599184,0.0972258394011339,3.517703817767683,3.4112665648505
CM_027-2,-95.28318,29.33381,32.93,7.5,10.96,152.38,-2717.18,-95.28318,29.33381,-2577.902958055536,264.9091732582392,1084.6416989270406,2.91834667175238,0.4850818367782001,0.2004318282599184,0.0972258394011339,3.434118409274495,3.4112665648505
CM_027-3,-95.28318,29.33381,32.93,7.5,10.96,152.38,-1941.4,-95.28318,29.33381,-2577.902958055536,264.9091732582392,1084.6416989270406,2.91834667175238,0.4850818367782001,0.2004318282599184,0.0972258394011339,3.288115025288103,3.4112665648505
CM_028-1,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-42.78,-96.57826799,28.83182444,-208.7956372474069,100.06946696593238,1055.1149485834046,4.008402458101632,0.1876415593424607,0.2752967770605666,0.0516571165295984,1.6312407802355091,2.319721419908903
CM_028-2,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-30.01,-96.57826799,28.83182444,-208.7956372474069,100.06946696593238,1055.1149485834046,4.008402458101632,0.1876415593424607,0.2752967770605666,0.0516571165295984,1.4772659954248526,2.319721419908903
CM_028-3,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-41.12,-96.57826799,28.83182444,-208.7956372474069,100.06946696593238,1055.1149485834046,4.008402458101632,0.1876415593424607,0.2752967770605666,0.0516571165295984,1.6140531059872194,2.319721419908903
CM_032-1,-96.798,46.804,15.02,7.6,9.38,93.04,-4001.81,-96.798,46.804,-4110.933060774758,434.0744801036714,1138.4538101683258,4.096764441639373,0.7826520935702328,0.2813654713937548,0.2202112752446976,3.602256465132177,3.6139404051255624
CM_032-2,-96.798,46.804,15.02,7.6,9.38,93.04,-3971.85,-96.798,46.804,-4110.933060774758,434.0744801036714,1138.4538101683258,4.096764441639373,0.7826520935702328,0.2813654713937548,0.2202112752446976,3.5989928386646377,3.6139404051255624
CM_032-3,-96.798,46.804,15.02,7.6,9.38,93.04,-4007.87,-96.798,46.804,-4110.933060774758,434.0744801036714,1138.4538101683258,4.096764441639373,0.7826520935702328,0.2813654713937548,0.2202112752446976,3.6029136262328714,3.6139404051255624
CM_033-1,-111.3042085,32.4712725,28.8,7.5,6.33,82.03,-4.36,-111.3042085,32.4712725,-168.30716983710926,101.86545680543296,1055.2878411155727,3.588078356242284,0.190918968966341,0.2464289495975632,0.0470479609806251,0.6394864892685861,2.2261026171901306
CM_033-2,-111.3042085,32.4712725,28.8,7.5,6.33,82.03,-2.98,-111.3042085,32.4712725,-168.30716983710926,101.86545680543296,1055.2878411155727,3.588078356242284,0.190918968966341,0.2464289495975632,0.0470479609806251,0.4742162640762553,2.2261026171901306
CM_033-3,-111.3042085,32.4712725,28.8,7.5,6.33,82.03,-2.16,-111.3042085,32.4712725,-168.30716983710926,101.86545680543296,1055.2878411155727,3.588078356242284,0.190918968966341,0.2464289495975632,0.0470479609806251,0.3344537511509309,2.2261026171901306
CM_034-1,-84.37418,46.49794,20.7,6.5,6.22,69.32,-1542.53,-84.37418,46.49794,-1947.9504759887557,195.9022634487912,1069.0221418253886,4.038281662713088,0.3546892480130879,0.2773488785689972,0.0983726651769107,3.1882336191932925,3.2895779113320174
CM_034-2,-84.37418,46.49794,20.7,6.5,6.22,69.32,-1776.15,-84.37418,46.49794,-1947.9504759887557,195.9022634487912,1069.0221418253886,4.038281662713088,0.3546892480130879,0.2773488785689972,0.0983726651769107,3.249479640170859,3.2895779113320174
CM_034-3,-84.37418,46.49794,20.7,6.5,6.22,69.32,-1842.39,-84.37418,46.49794,-1947.9504759887557,195.9022634487912,1069.0221418253886,4.038281662713088,0.3546892480130879,0.2773488785689972,0.0983726651769107,3.265381567728317,3.2895779113320174
CM_035-1,-92.785556,45.084433,7.86,6.5,13.12,110.39,-2420.28,-92.785556,45.084433,-2762.7863821567157,282.6319720183018,1088.5775067285706,1.490659661548509,0.5133747289912259,0.1023783925910601,0.0525584795509928,3.383865612022011,3.441347306691005
CM_035-2,-92.785556,45.084433,7.86,6.5,13.12,110.39,-3023.27,-92.785556,45.084433,-2762.7863821567157,282.6319720183018,1088.5775067285706,1.490659661548509,0.5133747289912259,0.1023783925910601,0.0525584795509928,3.4804769345658073,3.441347306691005
CM_035-3,-92.785556,45.084433,7.86,6.5,13.12,110.39,-2757.22,-92.785556,45.084433,-2762.7863821567157,282.6319720183018,1088.5775067285706,1.490659661548509,0.5133747289912259,0.1023783925910601,0.0525584795509928,3.4404714200681,3.441347306691005
CM_037-1,-72.8972,41.3825,10.8,6.5,9.86,89.03,-6.16,-72.8972,41.3825,-78.13442746706544,105.529238244582,1055.645807194859,0.6439436742974531,0.1974019195617722,0.0442260027518756,0.0087302978377644,0.7895807121644255,1.8928424341910062
