Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_DO_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100057,-72.2071738603,41.5732498469,-21.87460586401311,29.45421860796308,112.98723558531896,0.1634833647104866,0.1455378450269978,0.0110059009483705,0.0016017751066063,0.0,0.0,10.565445548827263,26.783579695905907,70.5977153560269,0.0,0.143709117425618,0.0,0.0015816483117641
100058,-72.131527346,41.573924256,-14.6223205567144,34.64168127284007,115.0161376336148,0.5348437427267946,0.1861691062063354,0.0360063378052633,0.0067032677269692,0.0,0.0,6.492711826177002,35.30281386803749,73.2694261074955,0.0,0.2375947110241185,0.0,0.0085549154258783
100059,-71.6274981483,44.7561648743,-7.977209983733893,36.55774859623086,115.60933377998136,0.7333798691416535,0.1878972531943115,0.0493720337331925,0.0092768695230837,0.0,0.0,5.136640173216908,36.6026779253822,73.90162612784938,0.0,0.2558935754982063,0.0,0.0126339862416046
100060,-71.720644584,44.4100681497,-8.543794536335312,37.24580583951739,115.95153196643408,1.5467595606776234,0.1894905224361,0.1041297537881602,0.0197316014464609,0.0,0.0,3.768668063774845,37.939781529938685,74.36061206423997,0.0,0.2566057344904942,0.0,0.0267202919531252
100061,-71.8350039595,44.5144766393,-12.849238189774306,31.08989483692751,113.55911215394616,0.2196137198405522,0.1644916514769442,0.0147846654107509,0.0024319540299484,0.0,0.0,2.8630069170007406,30.74729431547456,71.95940260609014,0.0,0.2087741506880619,0.0,0.0030866559643366
100062,-72.0395311954,44.4351188877,-24.53908098556432,26.25960567169308,111.67666482710806,0.5282012042700565,0.1358469377938342,0.0355591539561294,0.0048306021754796,0.0,0.0,16.94540124404908,16.13619094624466,68.23816439426501,0.0,0.1207000367857662,0.0,0.0042919911905755
100063,-72.0392621934,44.365623701,-9.609869211423646,35.46287491200998,115.23643628239196,0.7611749293989647,0.1831770260576512,0.0512432313353931,0.0093865827216015,0.0,0.0,3.1456283313156512,36.06541038291168,73.69151654620852,0.0,0.2442132491850647,0.0,0.0125142760231582
100064,-71.6274026293,44.268683095,-26.50962091320164,25.688551062654547,111.60544495387988,0.3995872815347484,0.1393205591348333,0.0269007066779435,0.0037478214954932,0.0,0.0,18.58543603700364,14.30065390240141,67.71474564944165,0.0,0.1197870200637417,0.0,0.0032223554905596
100065,-71.9851717969,44.1566503267,-13.023598234554504,30.789530953307185,113.52507383195224,0.6779381909604253,0.1655815907981507,0.0456396318490337,0.0075570828450049,0.0,0.0,3.613366625927762,30.93634023669325,71.95660896713949,0.0,0.2111992126469367,0.0,0.0096390543120119
100066,-72.0395841984,44.1562589587,-8.742682930382355,37.78006856878591,116.58772694728997,0.9510359591029628,0.1911907481683193,0.0640249090955634,0.0122409702713893,0.0,0.0,3.717717988476676,41.068296625308434,75.21195200242956,0.0,0.2593142247918546,0.0,0.0166025696694849
100067,-72.0643015915,44.1522482693,-22.487477626008257,24.70936695305064,111.29870898971538,0.2162115977661071,0.1300045966791863,0.0145556303732599,0.0018922988560869,0.0,0.0,14.346611388741335,16.32515372162075,68.32588356487067,0.0,0.1213230346691131,0.0,0.0017659332484058
100068,-72.4181499338,43.7142450081,-15.755096299361824,24.841208542194217,111.20317168573918,0.3995900108696185,0.1333415229340314,0.0269008904201199,0.0035870056969002,0.0,0.0,4.217702568012943,20.134045015900384,69.55697901764387,0.0,0.1522885181086132,0.0,0.0040966967378822
100069,-72.3147646132,43.6465248655,-7.050686649902678,36.28295820352945,115.59552533564492,2.0890708843181987,0.1867200474483283,0.140638818314314,0.0262600868287254,0.0,0.0,8.206858974909956,36.31491090714768,73.63269966155576,0.0,0.2568634259351169,0.0,0.0361249686916811
100070,-72.360281125,43.3855776379,-10.110202226411577,30.42639768265952,113.04577347748238,1.2417229577638944,0.1494000931925857,0.083594314948611,0.0124889984436928,0.0,0.0,2.622405533952493,28.08983596920972,71.4541634544246,0.0,0.1770464464994967,0.0,0.0148000764092113
